pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,7,3,31,3,,,,,92.44726725405008,93.43054804647772,93.43054804647772,93.43054804647772,93.43054804647772,93.44722740688212,94.43066547487433,94.43066547487433,z,1,0.36869195566077906,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,8,0,32,0,,,,,94.83064651728228,95.81414043168388,95.81414043168388,95.81414043168388,95.81414043168388,95.83073496592033,96.81418148634157,96.81418148634157,x,1,0.4493948476292644,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,8,1,33,1,,,,,97.28095875908684,98.26432256644739,98.26432256644739,98.26432256644739,98.26432256644739,98.28115316496724,99.28124825479972,99.28124825479972,v,1,0.47789311956057645,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,8,2,34,2,,,,,99.78113248670206,100.76469402053999,100.76469402053999,100.76469402053999,100.76469402053999,100.78137851277688,101.76474352762762,101.76474352762762,c,1,0.5223737283286027,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,8,3,35,3,,,,,102.31481043766371,103.29822375211188,103.29822375211188,103.29822375211188,103.29822375211188,103.31504167198727,104.29835325540807,104.29835325540807,z,1,0.4052191300706909,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,9,0,36,0,,,,,104.7319396484454,105.73194870461975,105.73194870461975,105.73194870461975,105.73194870461975,105.73194870461975,106.71546616507521,106.71546616507521,x,1,0.5317317753583666,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,9,1,37,1,,,,,107.26538062950704,108.26555390431304,108.26555390431304,108.26555390431304,108.26555390431304,108.26555390431304,109.24914804037962,109.24914804037962,v,1,0.41405131523242744,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,9,2,38,2,,,,,109.68248659610708,110.6832334286346,110.6832334286346,110.6832334286346,110.6832334286346,110.6832334286346,111.68252946199982,111.68252946199982,c,1,0.4123741117064128,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,9,3,39,3,,,,,112.11599903038586,113.11660156786547,113.11660156786547,113.11660156786547,113.11660156786547,113.11660156786547,114.11618015387648,114.11618015387648,z,1,0.34835329699490103,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,10,0,40,0,,,,,114.48294405367051,115.48302767234873,115.48302767234873,115.48302767234873,115.48302767234873,115.48302767234873,116.48294616677777,116.48294616677777,x,1,0.4122023462623474,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,10,1,41,1,,,,,116.9165521815271,117.91662553654078,117.91662553654078,117.91662553654078,117.91662553654078,117.91662553654078,118.91669979717199,118.91669979717199,v,1,0.44273523874107923,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,10,2,42,2,,,,,119.383487635454,120.3835054459305,120.3835054459305,120.3835054459305,120.3835054459305,120.3835054459305,121.36694834388254,121.36694834388254,c,1,0.4084699948598427,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,10,3,43,3,,,,,121.80017762177022,122.78379922823297,122.78379922823297,122.78379922823297,122.78379922823297,122.80027482471041,123.78392541093172,123.78392541093172,z,1,0.3113509752938626,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,11,0,44,0,,,,,124.11714101399593,125.11727987533868,125.11727987533868,125.11727987533868,125.11727987533868,125.11727987533868,126.10068322799498,126.10068322799498,x,1,0.3937941621375103,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,11,1,45,1,,,,,126.51745683298941,127.50084509202134,127.50084509202134,127.50084509202134,127.50084509202134,127.5175283767685,128.50091361707564,128.50091361707564,v,1,0.4100364111836825,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,11,2,46,2,,,,,128.93443963561595,129.91773220107007,129.91773220107007,129.91773220107007,129.91773220107007,129.93432371658173,130.91783000775513,130.91783000775513,c,1,0.37777861932681844,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,11,3,47,3,,,,,131.31802024779518,132.30124851440996,132.30124851440996,132.30124851440996,132.30124851440996,132.31799941859344,133.30146012702198,133.30146012702198,z,1,0.3455489016109823,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,12,0,48,0,,,,,133.6681295407284,134.65174420412404,134.65174420412404,134.65174420412404,134.65174420412404,134.6683954903874,135.65388810251125,135.65388810251125,x,1,0.40932187901262296,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,12,1,49,1,,,,,136.0852590533823,137.0856439408003,137.0856439408003,137.0856439408003,137.0856439408003,137.0856439408003,138.08543806376565,138.08543806376565,v,1,0.44196757701229217,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
